,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,favorites,retweets,user_followers,jpg_url,dog_stage,prediction_algorithm,confidence_level,dog_gender
0,892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10.0,Phineas,38967,8641,6555904,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,None,,0.0,
1461,680055455951884288,2015-12-24 16:00:30,TweetDeck,"Meet Sammy. At first I was like ""that's a snowflake. we only rate dogs,"" but he would've melted by now, so 10/10 https://t.co/MQfPK4zwuh",https://twitter.com/dog_rates/status/680055455951884288/photo/1,10.0,10.0,Sammy,17928,7871,6556453,https://pbs.twimg.com/media/CW-ZRC_WQAAyFrL.jpg,None,Samoyed,0.995466,male
1460,680070545539371008,2015-12-24 17:00:27,TweetDeck,Say hello to Emmie. She's trapped in an ornament. Tragic af. Looks pretty content tho. Maybe it's meant to be. 9/10 https://t.co/Fh7geodBCU,https://twitter.com/dog_rates/status/680070545539371008/photo/1,9.0,10.0,Emmie,2757,967,6556453,https://pbs.twimg.com/media/CW-dU34WQAANBGy.jpg,None,Shih-Tzu,0.121811,
1459,680085611152338944,2015-12-24 18:00:19,TweetDeck,This is by far the most coordinated series of pictures I was sent. Downright impressive in every way. 12/10 for all https://t.co/etzLo3sdZE,"https://twitter.com/dog_rates/status/680085611152338944/photo/1,https://twitter.com/dog_rates/status/680085611152338944/photo/1,https://twitter.com/dog_rates/status/680085611152338944/photo/1",12.0,10.0,by,13705,9806,6556453,https://pbs.twimg.com/media/CXAiiHUWkAIN_28.jpg,None,,0.0,
1457,680115823365742593,2015-12-24 20:00:22,Twitter for iPhone,This is Ozzy. He woke up 2 minutes before he had to be ready for the Christmas party. 9/10 classic Ozzy https://t.co/Kt9vmw0Fap,https://twitter.com/dog_rates/status/680115823365742593/photo/1,9.0,10.0,Ozzy,2906,1006,6556453,https://pbs.twimg.com/media/CXBBurSWMAELewi.jpg,None,pug,0.999365,male
1456,680130881361686529,2015-12-24 21:00:12,Twitter for iPhone,This is Reggie. His Santa hat is a little big. 10/10 he's still having fun https://t.co/w0dcGXq7qK,https://twitter.com/dog_rates/status/680130881361686529/photo/1,10.0,10.0,Reggie,2463,1048,6556452,https://pbs.twimg.com/media/CXBPbVtWAAA2Vus.jpg,None,Maltese_dog,0.199121,male
1454,680161097740095489,2015-12-24 23:00:17,Twitter for iPhone,Meet Goliath. He's an example of irony. Head is phenomenally round. Wants to be an ornament. 12/10 would hug gently https://t.co/72Dil0Aktw,https://twitter.com/dog_rates/status/680161097740095489/photo/1,12.0,10.0,Goliath,2477,807,6556452,https://pbs.twimg.com/media/CXBq6RPWkAAaNuU.jpg,None,bluetick,0.268681,
1451,680206703334408192,2015-12-25 02:01:30,Twitter for iPhone,I hope everyone enjoys this picture as much as I do. This is Toby. 12/10 https://t.co/vHnu1g9EJm,https://twitter.com/dog_rates/status/680206703334408192/photo/1,12.0,10.0,Toby,3042,1296,6556452,https://pbs.twimg.com/media/CXCUYcRW8AAObYM.jpg,None,,0.0,
1450,680221482581123072,2015-12-25 03:00:14,Twitter for iPhone,This is CeCe. She's patiently waiting for Santa. 10/10 https://t.co/ZJUypFFwvg,https://twitter.com/dog_rates/status/680221482581123072/photo/1,10.0,10.0,CeCe,1562,321,6556452,https://pbs.twimg.com/media/CXCh0QZW8AALdXm.jpg,None,,0.0,
1449,680440374763077632,2015-12-25 17:30:01,Twitter for iPhone,Merry Christmas. My gift to you is this tiny unicorn running into a wall in slow motion. 11/10 https://t.co/UKqIAnR3He,https://twitter.com/dog_rates/status/680440374763077632/video/1,11.0,10.0,None,1549,553,6556452,https://pbs.twimg.com/ext_tw_video_thumb/680440290977693696/pu/img/B900g7b-n-zhnwi5.jpg,None,,0.0,
